name,author,publisher,price,id,rating
Игрок,Достоевский Федор Михайлович,Эксмо-Пресс,252 руб.,908559,0.00(Оценок: 0)
Рубин Великого Ламы,Лори Андре,Вече,428 руб.,915434,9.40(Оценок: 5)
Торговцы мечтами,Роббинс Гарольд,Пальмира,1797 руб.,915295,0.00(Оценок: 0)
Сказка сказок. Пентамерон,Базиле Джамбаттиста,Альма-Матер,829 руб.,915283,0.00(Оценок: 0)
Снайпер,Чейз Джеймс Хедли,Азбука,242 руб.,914131,0.00(Оценок: 0)
Игра в пятнашки. Золотые пауки,Стаут Рекс,Азбука,253 руб.,914128,0.00(Оценок: 0)
"Трое вне игры. Черная гора. Повести, роман",Стаут Рекс,Азбука,253 руб.,914129,0.00(Оценок: 0)
Птицы и другие истории,Дюморье Дафна,Азбука,232 руб.,535245,9.46(Оценок: 13)
Семнадцать мгновений весны,Семенов Юлиан Семенович,Азбука,222 руб.,535697,9.25(Оценок: 4)
Время-не-ждет,Лондон Джек,Азбука,196 руб.,533351,7.75(Оценок: 4)
Затерянный мир,Дойл Артур Конан,Азбука,215 руб.,532288,10.00(Оценок: 9)
Моя кузина Рейчел,Дюморье Дафна,Азбука,242 руб.,531234,8.79(Оценок: 29)
И дольше века длится день...,Айтматов Чингиз Торекулович,Азбука,231 руб.,524279,9.57(Оценок: 7)
Повесть о Ходже Насреддине,Соловьев Леонид Васильевич,Азбука,274 руб.,528815,9.82(Оценок: 11)
Одноэтажная Америка,Ильф Илья Арнольдович,Азбука,222 руб.,523460,9.55(Оценок: 11)
Плаха,Айтматов Чингиз Торекулович,Азбука,222 руб.,509352,9.54(Оценок: 13)
Мы,Замятин Евгений Иванович,Азбука,215 руб.,507581,8.10(Оценок: 20)
Дети Арбата,Рыбаков Анатолий Наумович,Азбука,1302 руб.,524287,9.09(Оценок: 22)
Отцы и дети,Тургенев Иван Сергеевич,Азбука,196 руб.,511133,9.58(Оценок: 12)
Сентябрьские розы,Моруа Андре,Азбука,222 руб.,497404,7.82(Оценок: 22)
Путешествие из Петербурга в Москву,Радищев Александр Николаевич,Азбука,193 руб.,505833,9.14(Оценок: 7)
Вечный муж. Кроткая,Достоевский Федор Михайлович,Азбука,193 руб.,492635,9.80(Оценок: 5)
Мартин Иден,Лондон Джек,Азбука,215 руб.,485314,9.39(Оценок: 28)
Идиот,Достоевский Федор Михайлович,Азбука,205 руб.,502489,8.89(Оценок: 9)
Зов Ктулху,Лавкрафт Говард Филлипс,Азбука,178 руб.,481331,9.15(Оценок: 26)
Превращение,Кафка Франц,Азбука,215 руб.,478896,9.29(Оценок: 21)
"Моби Дик, или Белый Кит",Мелвилл Герман,Азбука,215 руб.,477184,8.51(Оценок: 35)
Бедные люди,Достоевский Федор Михайлович,Азбука,196 руб.,475220,10.00(Оценок: 8)
Судьба человека,Шолохов Михаил Александрович,Азбука,232 руб.,473159,9.62(Оценок: 21)
Роза Мира,Андреев Даниил Леонидович,Азбука,323 руб.,471267,9.00(Оценок: 10)
Золотой теленок,Ильф Илья Арнольдович,Азбука,215 руб.,432838,9.60(Оценок: 15)
Тихий Дон. В 2-х томах. Комплект,Шолохов Михаил Александрович,Азбука,579 руб.,454747,8.94(Оценок: 18)
Двенадцать стульев,Ильф Илья Арнольдович,Азбука,215 руб.,429911,9.60(Оценок: 30)
Петр Первый,Толстой Алексей Николаевич,Азбука,215 руб.,437739,8.64(Оценок: 14)
А зори здесь тихие...,Васильев Борис Львович,Азбука,196 руб.,455047,8.93(Оценок: 14)
Улисс. В 2-х томах,Джойс Джеймс,Азбука,483 руб.,428323,8.75(Оценок: 16)
Двенадцать стульев,Ильф Илья Арнольдович,Азбука,193 руб.,429908,9.75(Оценок: 12)
Игрок,Достоевский Федор Михайлович,Азбука,215 руб.,425316,8.30(Оценок: 27)
Отверженные,Гюго Виктор,Азбука,215 руб.,418960,8.75(Оценок: 40)
Война и мир. Комплект из 2-х книг,Толстой Лев Николаевич,Азбука,399 руб.,423124,9.45(Оценок: 84)
Бег,Булгаков Михаил Афанасьевич,Азбука,178 руб.,411509,9.14(Оценок: 7)
Братья Карамазовы,Достоевский Федор Михайлович,Азбука,215 руб.,415481,8.79(Оценок: 53)
Чувство и чувствительность,Остен Джейн,Азбука,215 руб.,417684,9.47(Оценок: 19)
Финансист,Драйзер Теодор,Азбука,222 руб.,405953,9.58(Оценок: 19)
Копи царя Соломона,Хаггард Генри Райдер,Азбука,215 руб.,404362,9.23(Оценок: 22)
Обрыв,Гончаров Иван Александрович,Азбука,231 руб.,402219,9.50(Оценок: 14)
Котлован,Платонов Андрей Платонович,Азбука,193 руб.,408682,9.57(Оценок: 14)
Дракула,Стокер Брэм,Азбука,205 руб.,402217,9.22(Оценок: 23)
Грозовой перевал,Бронте Эмили,Азбука,215 руб.,401259,8.75(Оценок: 81)
Дракула,Стокер Брэм,Азбука,215 руб.,392004,9.35(Оценок: 69)
Джейн Эйр,Бронте Шарлотта,Азбука,215 руб.,391999,9.47(Оценок: 73)
Гордость и предубеждение,Остен Джейн,Азбука,215 руб.,383179,9.50(Оценок: 101)
Замок Броуди,Кронин Арчибалд Джозеф,Иностранка,796 руб.,532907,9.34(Оценок: 103)
Колыбель для кошки,Воннегут Курт,АСТ,289 руб.,435655,8.34(Оценок: 132)
Мы,Замятин Евгений Иванович,Азбука,193 руб.,384230,8.48(Оценок: 42)
1984. Скотный двор,Оруэлл Джордж,Эксмо,223 руб.,810258,9.00(Оценок: 25)
Колымские рассказы,Шаламов Варлам Тихонович,Азбука,222 руб.,388790,9.82(Оценок: 17)
Капитан Трафальгар,Лори Андре,Вече,428 руб.,924731,9.50(Оценок: 6)
Великий Гэтсби,Фицджеральд Фрэнсис Скотт,Азбука,178 руб.,35907,9.00(Оценок: 66)
Америка,Кафка Франц,Азбука,196 руб.,12309,9.50(Оценок: 14)
Айвенго,Скотт Вальтер,Азбука,215 руб.,518833,9.43(Оценок: 14)
Гаргантюа и Пантагрюэль,Рабле Франсуа,Азбука,215 руб.,519698,5.69(Оценок: 13)
Любовник леди Чаттерли,Лоуренс Дэвид Герберт,Азбука,215 руб.,915676,10.00(Оценок: 1)
Дженни Герхардт,Драйзер Теодор,Азбука,215 руб.,915675,0.00(Оценок: 0)
Вера,фон Арним Элизабет,Livebook,540 руб.,907547,10.00(Оценок: 3)
Принц и нищий,Твен Марк,Азбука,215 руб.,489034,9.44(Оценок: 18)
Исповедь. О жизни,Толстой Лев Николаевич,Азбука,222 руб.,503230,9.43(Оценок: 7)
Севастопольские рассказы,Толстой Лев Николаевич,Азбука,215 руб.,470787,9.70(Оценок: 10)
Дочь Монтесумы,Хаггард Генри Райдер,Азбука,215 руб.,438092,9.30(Оценок: 20)
Сердца трех,Лондон Джек,Азбука,215 руб.,468202,8.96(Оценок: 25)
Сестра Керри,Драйзер Теодор,Азбука,215 руб.,458069,9.24(Оценок: 17)
Короли и капуста,О. Генри,Азбука,215 руб.,451472,10.00(Оценок: 13)
Замок,Кафка Франц,Азбука,215 руб.,454738,9.31(Оценок: 16)
Мария Стюарт,Цвейг Стефан,Азбука,215 руб.,420483,9.12(Оценок: 16)
Кармен,Мериме Проспер,Азбука,215 руб.,429912,9.82(Оценок: 11)
Доктор Живаго,Пастернак Борис Леонидович,Азбука,215 руб.,402215,9.05(Оценок: 42)
Белый Бим Черное ухо,Троепольский Гавриил Николаевич,Азбука,222 руб.,420474,9.93(Оценок: 15)
Блеск и нищета куртизанок,Бальзак Оноре де,Азбука,215 руб.,404360,7.73(Оценок: 11)
"Зверобой, или Первая тропа войны",Купер Джеймс Фенимор,Азбука,215 руб.,402214,9.88(Оценок: 8)
Приключения Оливера Твиста,Диккенс Чарльз,Азбука,215 руб.,399707,9.36(Оценок: 28)
Приключения принца Флоризеля,Стивенсон Роберт Льюис,Азбука,215 руб.,410047,9.60(Оценок: 10)
Сонная Лощина,Ирвинг Вашингтон,Азбука,215 руб.,399313,8.59(Оценок: 29)
Воскресение,Толстой Лев Николаевич,Азбука,215 руб.,392005,9.40(Оценок: 20)
Путешествия Лемюэля Гулливера,Свифт Джонатан,Азбука,215 руб.,392002,9.46(Оценок: 13)
Лунный камень,Коллинз Уильям Уилки,Азбука,215 руб.,377567,9.31(Оценок: 16)
Декамерон,Боккаччо Джованни,Азбука,215 руб.,372296,9.18(Оценок: 17)
Алые паруса,Грин Александр Степанович,Азбука,215 руб.,367291,9.42(Оценок: 12)
Преступление и наказание,Достоевский Федор Михайлович,Азбука,215 руб.,366901,9.36(Оценок: 64)
Красное и черное,Стендаль,Азбука,215 руб.,371186,8.83(Оценок: 18)
Гобсек,Бальзак Оноре де,Азбука,215 руб.,362495,9.40(Оценок: 5)
Милый друг,Мопассан Ги де,Азбука,215 руб.,361612,9.52(Оценок: 25)
Белый Клык,Лондон Джек,Азбука,178 руб.,233033,9.80(Оценок: 41)
"Горе от ума. Комедия в четырех действиях, в стихах",Грибоедов Александр Сергеевич,Азбука,193 руб.,57186,9.89(Оценок: 9)
Детство. Отрочество. Юность,Толстой Лев Николаевич,Азбука,222 руб.,209438,8.89(Оценок: 9)
"Франкенштейн, или Современный Прометей",Шелли Мэри,Яуза,255 руб.,917457,0.00(Оценок: 0)
Записки врача,Вересаев Викентий Викентиевич,АСТ,394 руб.,917451,10.00(Оценок: 1)
"1984. Скотный Двор. Романы, повесть",Оруэлл Джордж,Иностранка,705 руб.,917363,10.00(Оценок: 3)
Робот-зазнайка и другие фантастические истории,Каттнер Генри,Азбука,1302 руб.,916121,10.00(Оценок: 1)
Робинзоны космоса,Карсак Франсис,Азбука,843 руб.,916065,10.00(Оценок: 3)
Пришельцы ниоткуда,Карсак Франсис,Азбука,843 руб.,916064,10.00(Оценок: 3)
"Чингисхан. Батый. К ""последнему морю""",Ян Василий Григорьевич,Азбука,1021 руб.,915997,10.00(Оценок: 3)
Король былого и грядущего,Уайт Теренс Хэнбери,Азбука,965 руб.,916080,10.00(Оценок: 1)
Поднятая целина,Шолохов Михаил Александрович,Азбука,767 руб.,915995,10.00(Оценок: 7)
"Калина красная. Повести, рассказы",Шукшин Василий Макарович,Азбука,921 руб.,915996,10.00(Оценок: 5)
"Лето Господне. Романы, повести, эпопея",Шмелев Иван Сергеевич,Азбука,965 руб.,915994,10.00(Оценок: 4)
Емельян Пугачев. Комплект из 2-х книг,Шишков Вячеслав Яковлевич,Азбука,1457 руб.,915993,10.00(Оценок: 5)
Драма на охоте,Чехов Антон Павлович,Азбука,843 руб.,915991,10.00(Оценок: 4)
Белый Бим Черное ухо,Троепольский Гавриил Николаевич,Азбука,729 руб.,915986,10.00(Оценок: 1)
Черный тополь. Сказания о людях тайги,Черкасов Алексей Тимофеевич,Азбука,767 руб.,915989,10.00(Оценок: 4)
Прощание с Матёрой,Распутин Валентин Григорьевич,Азбука,875 руб.,915980,10.00(Оценок: 3)
Конь рыжий. Сказания о людях тайги,Черкасов Алексей Тимофеевич,Азбука,911 руб.,915988,10.00(Оценок: 4)
Чевенгур. Сокровенный человек. Котлован,Платонов Андрей Платонович,Азбука,875 руб.,915977,10.00(Оценок: 4)
"В окопах Сталинграда. Повести, рассказы",Некрасов Виктор Платонович,Азбука,843 руб.,915973,10.00(Оценок: 1)
Семнадцать мгновений весны,Семенов Юлиан Семенович,Азбука,1021 руб.,915982,10.00(Оценок: 4)
Гранатовый браслет. Поединок. Олеся,Куприн Александр Иванович,Азбука,805 руб.,915971,10.00(Оценок: 4)
"Перед зеркалом. Двойной портрет. Наука расставания. Романы, повесть",Каверин Вениамин Александрович,Азбука,965 руб.,915965,10.00(Оценок: 2)
"Территория. Роман, повести, рассказы",Куваев Олег Михайлович,Азбука,875 руб.,915969,10.00(Оценок: 2)
Двенадцать стульев. Золотой теленок. Одноэтажная Америка,Ильф Илья Арнольдович,Азбука,986 руб.,915963,10.00(Оценок: 5)
Кролики и удавы. Человек и его окрестности,Искандер Фазиль Абдулович,Азбука,1128 руб.,915964,10.00(Оценок: 2)
Москва и москвичи,Гиляровский Владимир Алексеевич,Азбука,911 руб.,915959,10.00(Оценок: 1)
"Алые паруса. Бегущая по волнам. Романы, повести",Грин Александр Степанович,Азбука,729 руб.,915960,10.00(Оценок: 3)
"Мы. Бич Божий. Романы, повести, рассказы, сказки",Замятин Евгений Иванович,Азбука,731 руб.,915962,10.00(Оценок: 3)
Человек-амфибия. Лучшее,Беляев Александр Романович,Азбука,965 руб.,915955,8.50(Оценок: 4)
Республика Шкид. Дом веселых нищих,Пантелеев Леонид,Азбука,729 руб.,915954,10.00(Оценок: 4)
Малахитовая шкатулка. Уральские сказы. Уральские были. Повести,Бажов Павел Петрович,Азбука,875 руб.,915953,10.00(Оценок: 5)
Одесские рассказы. Конармия,Бабель Исаак Эммануилович,Азбука,843 руб.,915952,10.00(Оценок: 3)
Жизнь и необычайные приключения солдата Ивана Чонкина. Трилогия,Войнович Владимир Николаевич,Азбука,911 руб.,915957,10.00(Оценок: 5)
"Царь-рыба. Повести, рассказы",Астафьев Виктор Петрович,Азбука,1038 руб.,915951,10.00(Оценок: 3)
"Плаха. Романы, повести",Айтматов Чингиз Торекулович,Азбука,1009 руб.,915948,10.00(Оценок: 4)
И дольше века длится день... Тавро Кассандры,Айтматов Чингиз Торекулович,Азбука,843 руб.,915947,10.00(Оценок: 3)
Книга вымышленных существ,Борхес Хорхе Луис,Азбука,529 руб.,915945,10.00(Оценок: 1)
"О хороших, в сущности, людях! Рассказы (юмористические)",Аверченко Аркадий Тимофеевич,Азбука,911 руб.,915946,10.00(Оценок: 2)
"Разбитая жизнь, или Волшебный рог Оберона",Катаев Валентин Петрович,Нигма,2012 руб.,915499,10.00(Оценок: 2)
Сад расходящихся тропок,Борхес Хорхе Луис,Азбука,529 руб.,915943,0.00(Оценок: 0)
Создатель,Борхес Хорхе Луис,Азбука,529 руб.,915944,10.00(Оценок: 1)
Книга Песка,Борхес Хорхе Луис,Азбука,529 руб.,915942,10.00(Оценок: 1)
Всеобщая история бесчестья,Борхес Хорхе Луис,Азбука,529 руб.,915941,10.00(Оценок: 1)
Алеф. Рассказы,Борхес Хорхе Луис,Азбука,529 руб.,915940,10.00(Оценок: 1)
Туманность Андромеды,Ефремов Иван Антонович,Азбука,222 руб.,535693,9.70(Оценок: 10)
Территория,Куваев Олег Михайлович,Азбука,222 руб.,540067,9.50(Оценок: 14)
Путешествие к центру Земли,Верн Жюль,Азбука,193 руб.,528809,9.75(Оценок: 12)
Яма,Куприн Александр Иванович,Азбука,215 руб.,534730,9.70(Оценок: 10)
Свидание в аду,Дрюон Морис,Азбука,222 руб.,523459,8.83(Оценок: 6)
Робинзон Крузо,Дефо Даниель,Азбука,196 руб.,504222,10.00(Оценок: 5)
Янки из Коннектикута при дворе короля Артура,Твен Марк,Азбука,196 руб.,492637,9.00(Оценок: 4)
Смок Беллью. Смок и Малыш,Лондон Джек,Азбука,196 руб.,487301,9.81(Оценок: 16)
Чевенгур,Платонов Андрей Платонович,Азбука,222 руб.,499852,9.33(Оценок: 3)
Хижина дяди Тома,Бичер-Стоу Гарриет,Азбука,232 руб.,473121,10.00(Оценок: 14)
Хроника капитана Блада. Из судового журнала Джереми Питта,Сабатини Рафаэль,Азбука,196 руб.,476567,9.00(Оценок: 7)
Страдания юного Вертера,Гете Иоганн Вольфганг,Азбука,196 руб.,470805,9.10(Оценок: 10)
Сильные мира сего,Дрюон Морис,Азбука,222 руб.,471258,8.38(Оценок: 8)
Смерть Ивана Ильича,Толстой Лев Николаевич,Азбука,196 руб.,454746,10.00(Оценок: 7)
Тяжелые времена,Диккенс Чарльз,Азбука,222 руб.,451476,8.88(Оценок: 16)
Софичка,Искандер Фазиль Абдулович,Азбука,222 руб.,452281,9.50(Оценок: 8)
Сердца трех,Лондон Джек,Азбука,196 руб.,441527,9.50(Оценок: 14)
Севастопольские рассказы,Толстой Лев Николаевич,Азбука,193 руб.,450028,8.38(Оценок: 8)
Тяжелый песок,Рыбаков Анатолий Наумович,Азбука,222 руб.,434349,9.73(Оценок: 15)
Хождение по мукам. В 2-х томах,Толстой Алексей Николаевич,Азбука,400 руб.,433683,9.50(Оценок: 6)
"Странник по звездам, или Смирительная рубашка",Лондон Джек,Азбука,196 руб.,426472,9.47(Оценок: 30)
"Франкенштейн, или Современный Прометей",Шелли Мэри,Азбука,222 руб.,428326,9.43(Оценок: 30)
Чингисхан,Ян Василий Григорьевич,Азбука,222 руб.,424191,9.62(Оценок: 8)
Сага о Форсайтах. Комплект из 2-х книг,Голсуорси Джон,Азбука,585 руб.,381042,9.15(Оценок: 13)
Титан,Драйзер Теодор,Азбука,231 руб.,405952,8.44(Оценок: 16)
Утраченные иллюзии,Бальзак Оноре де,Азбука,290 руб.,390930,9.83(Оценок: 6)
Север и Юг,Гаскелл Элизабет,Азбука,231 руб.,290211,9.37(Оценок: 120)
Тартарен из Тараскона,Доде Альфонс,Азбука,222 руб.,286878,9.67(Оценок: 3)
Посмертные записки Пиквикского клуба,Диккенс Чарльз,Азбука,290 руб.,356369,8.82(Оценок: 11)
Тевье-молочник,Шолом-Алейхем,Азбука,178 руб.,304492,9.08(Оценок: 12)
Сонная Лощина,Ирвинг Вашингтон,Азбука,232 руб.,205362,8.42(Оценок: 26)
Приключения Тома Сойера,Твен Марк,Азбука,196 руб.,221812,8.67(Оценок: 9)
Хаджи-Мурат,Толстой Лев Николаевич,Азбука,193 руб.,191569,9.91(Оценок: 11)
Сказки,Салтыков-Щедрин Михаил Евграфович,Азбука,193 руб.,200390,10.00(Оценок: 5)
Триумфальная арка,Ремарк Эрих Мария,АСТ,353 руб.,599528,8.83(Оценок: 87)
Чужая жена  и муж под кроватью,Достоевский Федор Михайлович,Азбука,196 руб.,126689,9.44(Оценок: 9)
Ревизор,Гоголь Николай Васильевич,Азбука,193 руб.,152350,9.88(Оценок: 8)
На Западном фронте без перемен,Ремарк Эрих Мария,АСТ,289 руб.,470629,9.24(Оценок: 127)
Собачье сердце,Булгаков Михаил Афанасьевич,Азбука,193 руб.,166710,9.59(Оценок: 37)
Сын менестреля. Грейси Линдсей,Кронин Арчибалд Джозеф,Иностранка,843 руб.,921572,10.00(Оценок: 5)
О дивный новый мир,Хаксли Олдос,АСТ,299 руб.,420220,8.87(Оценок: 386)
"Жизнь взаймы, или У неба любимчиков нет",Ремарк Эрих Мария,АСТ,308 руб.,663617,9.38(Оценок: 47)
Повелитель мух,Голдинг Уильям,АСТ,289 руб.,420218,8.22(Оценок: 329)
Элмер Гентри,Синклер Льюис,Т8,2319 руб.,931305,0.00(Оценок: 0)
Юмористические рассказы,Зощенко Михаил Михайлович,Эксмо,297 руб.,925036,10.00(Оценок: 1)
Сыновья и любовники,Лоуренс Дэвид Герберт,АСТ,278 руб.,932726,9.00(Оценок: 2)
Что они несли с собой,О`Брайен Тим,АСТ,299 руб.,932727,10.00(Оценок: 1)
Благородный Дом. Роман о Гонконге. Книга 1. На краю пропасти,Клавелл Джеймс,Иностранка,965 руб.,931197,10.00(Оценок: 2)
Лавка древностей,Диккенс Чарльз,Эксмо,437 руб.,932893,10.00(Оценок: 2)
"Взгляни на дом свой, ангел",Вулф Томас,АСТ,336 руб.,932725,10.00(Оценок: 2)
Темный цветок,Голсуорси Джон,АСТ,353 руб.,932714,0.00(Оценок: 0)
Человек из очереди. Шиллинг на свечи,Тэй Джозефина ,АСТ,785 руб.,932715,0.00(Оценок: 0)
"Тереза Батиста, уставшая воевать",Амаду Жоржи,Эксмо,498 руб.,932894,0.00(Оценок: 0)
Ноктюрн,Д`Аннунцио Габриэле,Омега-Л,1064 руб.,925005,0.00(Оценок: 0)
Унесенные ветром. Комплект из 2-х книг,Митчелл Маргарет,Эксмо,1316 руб.,932825,10.00(Оценок: 3)
Глотнуть воздуха,Оруэлл Джордж,Азбука,222 руб.,932780,10.00(Оценок: 1)
Большое собрание сочинений в одном томе,Лавкрафт Говард Филлипс,Эксмо,1062 руб.,930955,10.00(Оценок: 2)
Истина и легенда,Нуршаихов Азильхан,Фолиант,424 руб.,930376,0.00(Оценок: 0)
Белые ночи. Неточка Незванова,Достоевский Федор Михайлович,Мартин,193 руб.,931808,0.00(Оценок: 0)
Эмма,Остен Джейн,Эксмо-Пресс,270 руб.,926349,10.00(Оценок: 1)
Золотой жук,По Эдгар Аллан,Эксмо,243 руб.,930957,0.00(Оценок: 0)
"""Профессор накрылся!"" и прочие фантастические неприятности",Каттнер Генри,Азбука,1302 руб.,933206,0.00(Оценок: 0)
Молитва об Оуэне Мини,Ирвинг Джон,Азбука,323 руб.,933211,0.00(Оценок: 0)
Всеобщая история бесчестья,Борхес Хорхе Луис,Азбука,232 руб.,933210,0.00(Оценок: 0)
Батый,Ян Василий Григорьевич,Эксмо,305 руб.,925035,10.00(Оценок: 1)
Загадка замка Орнекен,Леблан Морис,Вече,621 руб.,933011,0.00(Оценок: 0)
Американская трагедия,Драйзер Теодор,Эксмо,880 руб.,915511,10.00(Оценок: 1)
История одного города,Салтыков-Щедрин Михаил Евграфович,Эксмо-Пресс,280 руб.,926357,10.00(Оценок: 1)
Ликвидация,Бондаренко Вячеслав Васильевич,Престиж БУК,2218 руб.,929202,0.00(Оценок: 0)
Ночь огня,Гюнтекин Решад Нури,Черная речка,443 руб.,934580,0.00(Оценок: 0)
Ночь огня,Гюнтекин Решад Нури,Черная речка,289 руб.,934581,0.00(Оценок: 0)
Юность полководца. Историческая повесть из жизни Александра Невского,Ян Василий Григорьевич,Т8,1159 руб.,933525,0.00(Оценок: 0)
Жак. Ускок,Санд Жорж,Т8,1961 руб.,933512,0.00(Оценок: 0)
Бэббит,Синклер Льюис,Т8,1529 руб.,933511,0.00(Оценок: 0)
"Иные боги и другие истории. Роман, повести, рассказы",Лавкрафт Говард Филлипс,Иностранка,843 руб.,400924,9.74(Оценок: 57)
Роман с кокаином,Агеев Михаил,Омега-Л,295 руб.,934582,0.00(Оценок: 0)
"Полное собрание сочинений и писем в 35 томах. Том 11. Бесы. Глава ""У Тихона"". Рукописные материалы",Достоевский Федор Михайлович,Наука,1364 руб.,929103,0.00(Оценок: 0)
Молодая гвардия,Фадеев Александр Александрович,Рипол-Классик,1156 руб.,930587,8.50(Оценок: 6)
Приключения Электроника,Велтистов Евгений Серафимович,АСТ,248 руб.,933481,10.00(Оценок: 1)
Дженни Герхардт,Драйзер Теодор,АСТ,248 руб.,933478,10.00(Оценок: 1)
Братья Карамазовы,Достоевский Федор Михайлович,Эксмо-Пресс,308 руб.,934865,10.00(Оценок: 1)
Молодая гвардия,Фадеев Александр Александрович,Эксмо,308 руб.,934875,10.00(Оценок: 1)
Короли и капуста. Рассказы,О. Генри,Эксмо,759 руб.,934870,10.00(Оценок: 1)
Монах,Льюис Мэтью Грегори,Эксмо-Пресс,419 руб.,934895,10.00(Оценок: 1)
Петр Первый,Толстой Алексей Николаевич,АСТ,266 руб.,934709,0.00(Оценок: 0)
Любовник леди Чаттерли,Лоуренс Дэвид Герберт,Эксмо,622 руб.,934915,0.00(Оценок: 0)
Петр Первый,Толстой Алексей Николаевич,АСТ,232 руб.,934706,0.00(Оценок: 0)
Дни в Бирме. Глотнуть воздуха,Оруэлл Джордж,Эксмо,512 руб.,934916,0.00(Оценок: 0)
Черный тюльпан,Дюма Александр,АСТ,177 руб.,934704,0.00(Оценок: 0)
Станция на горизонте,Ремарк Эрих Мария,АСТ,210 руб.,934705,0.00(Оценок: 0)
Сирены Титана,Воннегут Курт,АСТ,203 руб.,934703,0.00(Оценок: 0)
Агнес Грей,Бронте Энн,АСТ,169 руб.,934702,0.00(Оценок: 0)
Сирены Титана,Воннегут Курт,АСТ,266 руб.,934699,0.00(Оценок: 0)
Полное собрание сочинений и писем в 23-х томах. Том 7. Художественные произведения. 1908-1910,Андреев Леонид Николаевич,Наука,1419 руб.,929101,0.00(Оценок: 0)
Агнес Грей,Бронте Энн,АСТ,225 руб.,934698,0.00(Оценок: 0)
Новый человек в городе,Сименон Жорж,Азбука,175 руб.,934717,0.00(Оценок: 0)
Лиза из Ламбета. Карусель,Моэм Уильям Сомерсет,АСТ,523 руб.,934697,0.00(Оценок: 0)
Романы о Кролике. Начало. Комплект из 3-х книг,Апдайк Джон,Текст,2174 руб.,931217,10.00(Оценок: 1)
Незнакомка из Уайлдфелл-Холла,Бронте Энн,Эксмо-Пресс,256 руб.,934610,0.00(Оценок: 0)
Машина времени,Уэллс Герберт Джордж,Like Book,558 руб.,934612,0.00(Оценок: 0)
Повесть о жизни. Книги IV–VI,Паустовский Константин Георгиевич,Азбука,242 руб.,924355,0.00(Оценок: 0)
Портрет Дориана Грея,Уайльд Оскар,АСТ,234 руб.,589212,9.12(Оценок: 105)
Хорошие жены,Олкотт Луиза Мэй,Эксмо,607 руб.,927455,10.00(Оценок: 3)
Пригоршня праха. Мерзкая плоть. Упадок и разрушение,Во Ивлин,Иностранка,767 руб.,925728,10.00(Оценок: 3)
Дочь времени,Тэй Джозефина ,АСТ,234 руб.,925590,10.00(Оценок: 4)
Лолита,Набоков Владимир Владимирович,Corpus,669 руб.,811681,8.25(Оценок: 36)
